DR_NO,Status,Status Desc
220126591,IC,Invest Cont
221709582,IC,Invest Cont
221705583,AA,Adult Arrest
221704940,IC,Invest Cont
221709634,AO,Adult Other
222111979,AO,Adult Other
221716545,AO,Adult Other
220807328,IC,Invest Cont
221916328,AO,Adult Other
222018125,IC,Invest Cont
220616746,AA,Adult Arrest
221225626,AO,Adult Other
221305409,IC,Invest Cont
220106785,AO,Adult Other
221711075,IC,Invest Cont
221708866,AO,Adult Other
221713350,IC,Invest Cont
221504178,AA,Adult Arrest
221709490,IC,Invest Cont
221313469,IC,Invest Cont
221715473,AO,Adult Other
221707006,AO,Adult Other
222010942,IC,Invest Cont
222114419,IC,Invest Cont
220612944,AO,Adult Other
220812107,AO,Adult Other
220312010,IC,Invest Cont
221916040,IC,Invest Cont
221711977,AO,Adult Other
221715794,AA,Adult Arrest
221005078,AA,Adult Arrest
221005276,AO,Adult Other
221517378,IC,Invest Cont
220316486,IC,Invest Cont
221709778,AO,Adult Other
220907860,AO,Adult Other
221816462,IC,Invest Cont
220118597,AO,Adult Other
222112894,AO,Adult Other
221013784,IC,Invest Cont
221908213,AO,Adult Other
221007000,IC,Invest Cont
221700718,IC,Invest Cont
220205059,AO,Adult Other
220304600,IC,Invest Cont
221309932,IC,Invest Cont
222118234,IC,Invest Cont
220218654,AA,Adult Arrest
220306150,AO,Adult Other
220717892,IC,Invest Cont
221018218,IC,Invest Cont
220209463,AO,Adult Other
221712543,AO,Adult Other
221009167,AO,Adult Other
221011075,AO,Adult Other
220218347,AA,Adult Arrest
221711076,IC,Invest Cont
220311279,IC,Invest Cont
222112998,AO,Adult Other
221208987,IC,Invest Cont
221708118,IC,Invest Cont
221715727,AO,Adult Other
221712671,IC,Invest Cont
221807746,IC,Invest Cont
221316507,IC,Invest Cont
220909035,AA,Adult Arrest
221707295,AO,Adult Other
221010622,AA,Adult Arrest
220209587,IC,Invest Cont
221004834,AO,Adult Other
221018156,AO,Adult Other
221710546,IC,Invest Cont
220506024,AO,Adult Other
221008229,AA,Adult Arrest
220105518,IC,Invest Cont
221709671,IC,Invest Cont
220318533,AA,Adult Arrest
221008475,AO,Adult Other
221714476,IC,Invest Cont
222105353,AA,Adult Arrest
221322855,AO,Adult Other
221005789,AA,Adult Arrest
221710849,AO,Adult Other
221712603,AO,Adult Other
221708364,AO,Adult Other
221712136,IC,Invest Cont
220411367,IC,Invest Cont
221008921,AA,Adult Arrest
220612869,IC,Invest Cont
220205125,IC,Invest Cont
221710846,IC,Invest Cont
222015061,AO,Adult Other
221007622,AO,Adult Other
221319245,IC,Invest Cont
222008290,AA,Adult Arrest
221005077,AA,Adult Arrest
220306883,AA,Adult Arrest
220914511,AO,Adult Other
220909498,AO,Adult Other
222110697,AO,Adult Other
221700604,IC,Invest Cont
221706646,AO,Adult Other
222110395,AO,Adult Other
221711259,AA,Adult Arrest
220707786,IC,Invest Cont
220510235,AA,Adult Arrest
221009623,AA,Adult Arrest
220205866,IC,Invest Cont
221010790,IC,Invest Cont
221713424,AO,Adult Other
220314924,IC,Invest Cont
221807732,IC,Invest Cont
221712203,IC,Invest Cont
220205865,IC,Invest Cont
221006746,IC,Invest Cont
221713426,AO,Adult Other
221323134,IC,Invest Cont
221009673,IC,Invest Cont
222015949,AA,Adult Arrest
221011174,AO,Adult Other
220312519,AO,Adult Other
220219765,AO,Adult Other
221011199,IC,Invest Cont
221708012,AO,Adult Other
220220199,IC,Invest Cont
221710572,AO,Adult Other
222008207,AA,Adult Arrest
222113267,AO,Adult Other
220411998,IC,Invest Cont
221012117,AO,Adult Other
221009697,AA,Adult Arrest
221214896,AA,Adult Arrest
220915961,AO,Adult Other
221713428,AO,Adult Other
221013970,AA,Adult Arrest
220307689,IC,Invest Cont
221005766,AO,Adult Other
220314936,IC,Invest Cont
221010657,AA,Adult Arrest
221006917,AO,Adult Other
221008316,AA,Adult Arrest
221710547,IC,Invest Cont
221708694,AO,Adult Other
220916701,IC,Invest Cont
220409092,AO,Adult Other
220218060,AA,Adult Arrest
221222527,IC,Invest Cont
220210763,AA,Adult Arrest
221319556,AO,Adult Other
221012760,AO,Adult Other
222116704,AO,Adult Other
220407770,AO,Adult Other
221010664,AA,Adult Arrest
221807745,IC,Invest Cont
220411931,AO,Adult Other
220210779,AO,Adult Other
221907392,AO,Adult Other
221800685,IC,Invest Cont
221301102,AO,Adult Other
221705133,IC,Invest Cont
220219430,IC,Invest Cont
221915529,IC,Invest Cont
222005885,AO,Adult Other
221007216,AO,Adult Other
222013786,IC,Invest Cont
220308629,IC,Invest Cont
222013623,AO,Adult Other
220312011,IC,Invest Cont
222018745,IC,Invest Cont
221509062,AA,Adult Arrest
221013954,IC,Invest Cont
221223477,AO,Adult Other
221614659,IC,Invest Cont
221006216,AO,Adult Other
221310554,AO,Adult Other
220513448,AO,Adult Other
221813232,IC,Invest Cont
221709600,AO,Adult Other
220218272,AO,Adult Other
220220198,IC,Invest Cont
231406389,IC,Invest Cont
230317576,AO,Adult Other
231308127,AO,Adult Other
231517699,AO,Adult Other
230210884,AO,Adult Other
232008902,IC,Invest Cont
231614714,IC,Invest Cont
231110179,AA,Adult Arrest
230612815,AO,Adult Other
230412960,IC,Invest Cont
231104510,AO,Adult Other
231812684,IC,Invest Cont
230211201,IC,Invest Cont
231609767,AO,Adult Other
230911688,AO,Adult Other
231912026,IC,Invest Cont
230314299,IC,Invest Cont
230115540,AO,Adult Other
231519480,IC,Invest Cont
231613409,AO,Adult Other
231111870,AA,Adult Arrest
231708376,AO,Adult Other
231917423,IC,Invest Cont
231516326,AO,Adult Other
231305410,AA,Adult Arrest
232108187,AA,Adult Arrest
231111369,AO,Adult Other
231614143,AO,Adult Other
230307117,IC,Invest Cont
231808171,AO,Adult Other
231008146,AO,Adult Other
231711564,AO,Adult Other
231709199,AO,Adult Other
231612692,AA,Adult Arrest
230516151,AO,Adult Other
231016696,IC,Invest Cont
231519454,AO,Adult Other
231613910,IC,Invest Cont
231815012,AO,Adult Other
230516414,IC,Invest Cont
230912960,IC,Invest Cont
231611824,IC,Invest Cont
230607956,IC,Invest Cont
230317663,IC,Invest Cont
232113471,AO,Adult Other
231712724,AO,Adult Other
231615304,AO,Adult Other
231312131,IC,Invest Cont
231516993,IC,Invest Cont
231319325,IC,Invest Cont
230407478,IC,Invest Cont
231713630,IC,Invest Cont
231519203,IC,Invest Cont
230119409,IC,Invest Cont
230904768,IC,Invest Cont
231708379,IC,Invest Cont
231007534,IC,Invest Cont
231612706,IC,Invest Cont
231607595,IC,Invest Cont
230816092,AA,Adult Arrest
231609912,AA,Adult Arrest
231517946,IC,Invest Cont
231516480,IC,Invest Cont
230612169,AO,Adult Other
232013512,AO,Adult Other
231905066,AA,Adult Arrest
231317152,AO,Adult Other
231904954,AO,Adult Other
232104626,AA,Adult Arrest
231916995,IC,Invest Cont
231107216,AA,Adult Arrest
230317521,IC,Invest Cont
232115820,IC,Invest Cont
230214532,IC,Invest Cont
232107479,IC,Invest Cont
231615079,IC,Invest Cont
230512325,AA,Adult Arrest
231713455,IC,Invest Cont
232012920,AO,Adult Other
231612752,IC,Invest Cont
231104509,AA,Adult Arrest
231008047,AA,Adult Arrest
231909183,AO,Adult Other
231005304,AA,Adult Arrest
231515940,IC,Invest Cont
230517182,IC,Invest Cont
231014038,IC,Invest Cont
231715164,AO,Adult Other
230301092,IC,Invest Cont
231306183,AO,Adult Other
230404883,IC,Invest Cont
231517949,IC,Invest Cont
231317214,AO,Adult Other
231110519,AO,Adult Other
230508134,AO,Adult Other
231916994,AO,Adult Other
230319328,IC,Invest Cont
230218147,IC,Invest Cont
231517691,IC,Invest Cont
232113009,IC,Invest Cont
232006809,AA,Adult Arrest
230604077,IC,Invest Cont
230406612,IC,Invest Cont
231013203,AO,Adult Other
231708373,AA,Adult Arrest
232010275,IC,Invest Cont
231812728,IC,Invest Cont
231011052,AO,Adult Other
231017711,IC,Invest Cont
232018613,AO,Adult Other
230401522,IC,Invest Cont
231608287,AO,Adult Other
231608289,AA,Adult Arrest
231516678,AO,Adult Other
231318385,AO,Adult Other
231808757,IC,Invest Cont
232113108,AO,Adult Other
230205052,AO,Adult Other
231510771,AO,Adult Other
230219884,AO,Adult Other
232104113,IC,Invest Cont
231604230,IC,Invest Cont
232113033,AO,Adult Other
231716314,AO,Adult Other
231014459,IC,Invest Cont
231704071,AO,Adult Other
231713433,AO,Adult Other
231310079,AA,Adult Arrest
231614625,IC,Invest Cont
230908116,AO,Adult Other
231314662,AO,Adult Other
231714551,AA,Adult Arrest
231311157,IC,Invest Cont
230409311,IC,Invest Cont
232112616,AO,Adult Other
231819491,IC,Invest Cont
231607586,AO,Adult Other
231811037,AO,Adult Other
231609072,AO,Adult Other
230914948,AO,Adult Other
231713955,IC,Invest Cont
231116603,IC,Invest Cont
231818373,IC,Invest Cont
231017623,IC,Invest Cont
231708408,AO,Adult Other
231713629,IC,Invest Cont
230511112,IC,Invest Cont
230219885,AO,Adult Other
231613027,AO,Adult Other
231713400,AO,Adult Other
230405751,AO,Adult Other
231711663,AA,Adult Arrest
231519444,IC,Invest Cont
231810134,IC,Invest Cont
231010982,IC,Invest Cont
231704060,IC,Invest Cont
231708400,AO,Adult Other
231314433,IC,Invest Cont
230414092,IC,Invest Cont
231519460,IC,Invest Cont
230904481,IC,Invest Cont
230410776,AO,Adult Other
230126178,IC,Invest Cont
232112542,AO,Adult Other
230916150,AA,Adult Arrest
230708610,IC,Invest Cont
230318982,AO,Adult Other
232106560,IC,Invest Cont
231008975,AO,Adult Other
230506390,IC,Invest Cont
231614760,IC,Invest Cont
231611666,AA,Adult Arrest
230908661,AO,Adult Other
231715086,AO,Adult Other
230204067,AO,Adult Other
231517566,IC,Invest Cont
230412959,IC,Invest Cont
230125112,IC,Invest Cont
231908276,AO,Adult Other
231111078,AA,Adult Arrest
231517120,AO,Adult Other
232007397,IC,Invest Cont
230413502,IC,Invest Cont
230911475,IC,Invest Cont
231516679,IC,Invest Cont
231814352,AO,Adult Other
230512612,IC,Invest Cont
230317039,AA,Adult Arrest
231708375,AO,Adult Other
231705504,AO,Adult Other
231705198,AO,Adult Other
230209595,IC,Invest Cont
231812794,IC,Invest Cont
231316013,IC,Invest Cont
231014010,IC,Invest Cont
231014517,AA,Adult Arrest
231014643,IC,Invest Cont
231612643,AO,Adult Other
231014456,AA,Adult Arrest
231905211,AA,Adult Arrest
231010957,AO,Adult Other
231604140,AO,Adult Other
231316011,IC,Invest Cont
231224967,IC,Invest Cont
231017621,IC,Invest Cont
231311103,IC,Invest Cont
232111190,AO,Adult Other
232111397,IC,Invest Cont
230215159,AA,Adult Arrest
231012366,AO,Adult Other
231014069,IC,Invest Cont
232111705,AO,Adult Other
231006057,AO,Adult Other
231517690,IC,Invest Cont
232112954,IC,Invest Cont
231807032,IC,Invest Cont
230507651,IC,Invest Cont
230405297,IC,Invest Cont
230410059,AO,Adult Other
231810210,AO,Adult Other
232011695,AA,Adult Arrest
231612044,IC,Invest Cont
231605461,IC,Invest Cont
231812733,IC,Invest Cont
231000656,IC,Invest Cont
232112504,AO,Adult Other
232004799,IC,Invest Cont
232116171,AO,Adult Other
231109760,AO,Adult Other
231716317,AO,Adult Other
230612928,IC,Invest Cont
231016699,IC,Invest Cont
231607333,JA,Juv Arrest
231806049,IC,Invest Cont
231704401,AO,Adult Other
230321702,IC,Invest Cont
231111514,AO,Adult Other
231804644,IC,Invest Cont
230314308,IC,Invest Cont
231006097,AO,Adult Other
231314435,IC,Invest Cont
241604422,IC,Invest Cont
232113064,AO,Adult Other
231015110,IC,Invest Cont
231609979,AO,Adult Other
230405594,IC,Invest Cont
230405838,IC,Invest Cont
230314318,AO,Adult Other
230204282,AO,Adult Other
230410022,IC,Invest Cont
231913577,AA,Adult Arrest
231609658,AA,Adult Arrest
231015940,IC,Invest Cont
231316012,IC,Invest Cont
231607590,AA,Adult Arrest
231605864,IC,Invest Cont
231516752,IC,Invest Cont
231514146,AO,Adult Other
231225592,IC,Invest Cont
231517565,IC,Invest Cont
230222877,IC,Invest Cont
231011111,AO,Adult Other
230912775,AO,Adult Other
231314663,AO,Adult Other
231605341,IC,Invest Cont
231701287,AO,Adult Other
231904585,IC,Invest Cont
231611786,AO,Adult Other
241904192,IC,Invest Cont
241905052,IC,Invest Cont
242109046,IC,Invest Cont
240205671,AO,Adult Other
241509776,IC,Invest Cont
241608142,IC,Invest Cont
241908406,IC,Invest Cont
242104695,IC,Invest Cont
240309995,IC,Invest Cont
241404334,IC,Invest Cont
242108727,IC,Invest Cont
241508092,AA,Adult Arrest
241606778,IC,Invest Cont
241607462,IC,Invest Cont
242004324,IC,Invest Cont
242107167,IC,Invest Cont
242007745,IC,Invest Cont
242004608,IC,Invest Cont
241905663,IC,Invest Cont
241508513,IC,Invest Cont
241605638,IC,Invest Cont
240905757,IC,Invest Cont
241506594,IC,Invest Cont
241807606,IC,Invest Cont
241106656,IC,Invest Cont
241608137,IC,Invest Cont
241305264,IC,Invest Cont
240307898,IC,Invest Cont
241105740,AO,Adult Other
240606283,IC,Invest Cont
241906291,IC,Invest Cont
241606839,IC,Invest Cont
242106912,IC,Invest Cont
241807102,IC,Invest Cont
241905424,IC,Invest Cont
241908471,IC,Invest Cont
241904838,IC,Invest Cont
241508885,IC,Invest Cont
240806947,IC,Invest Cont
241805629,IC,Invest Cont
240104128,IC,Invest Cont
241608136,IC,Invest Cont
240704755,IC,Invest Cont
241506147,IC,Invest Cont
241006547,AA,Adult Arrest
241805875,IC,Invest Cont
221905982,AA,Adult Arrest
240904134,IC,Invest Cont
222111399,AA,Adult Arrest
200514277,AO,Adult Other
202112082,AO,Adult Other
200304583,AO,Adult Other
201908081,AA,Adult Arrest
200414791,AO,Adult Other
201711086,AO,Adult Other
201916638,AA,Adult Arrest
200322320,IC,Invest Cont
201006193,AO,Adult Other
201909009,IC,Invest Cont
201812021,IC,Invest Cont
201810544,AO,Adult Other
200308248,AO,Adult Other
211404170,AO,Adult Other
200404677,AA,Adult Arrest
202106717,IC,Invest Cont
201305831,IC,Invest Cont
200320020,AO,Adult Other
200319949,IC,Invest Cont
201213840,IC,Invest Cont
202018808,IC,Invest Cont
200204264,AO,Adult Other
201710702,AO,Adult Other
200512437,AA,Adult Arrest
201913416,AA,Adult Arrest
201917995,AO,Adult Other
201812213,IC,Invest Cont
201806390,IC,Invest Cont
200514316,AO,Adult Other
211904009,AA,Adult Arrest
201808921,IC,Invest Cont
201907729,AO,Adult Other
201812672,IC,Invest Cont
